GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,81.0,81,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,0.11,0.11,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,0.18,0.18,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,0.9,0.9,,
HWF_0016,Pharmaceutical Technicians and Assistants  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmaceutical-technicians-and-assistants-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,14.0,14,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,9.5,9.5,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,9.08,9.08,,
HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,705.0,705,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,141.0,141,,
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-and-hygiene-professionals-%28number%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,,,,132.0,132,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,0.16,0.16,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,868.0,868,,
